Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Public Appeal to Reduce Electricity Usage,2011,8/23/2011,10:30 AM,8/23/2011,4:54 PM,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,0,public appeal,"Southeastern New Mexico,  Texas Panhandle",Mexico
Earthquake,2011,8/23/2011,1:51 PM,8/23/2011,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,0,earthquake,Virginia,Virginia
Suspected Physical Attack,2011,8/22/2011,10:05 AM,8/22/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,,"vandalism, physical","Collins Substation, Washington",Washington
Severe Weather,2011,8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"2,200","931,000","931,000",severe weather,Puerto Rico,Puerto Rico
Severe Weather,2011,8/20/2011,5:42 PM,8/23/2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,"65,000","65,000",severe weather,Southeastern Michigan,Michigan
Suspected Physical Attack,2011,8/18/2011,9:51 AM,8/18/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,,"vandalism, physical","Collins Substation, Washington",Washington
Vandalism,2011,8/15/2011,2:05 AM,8/15/2011,3:40 AM,PacifiCorp,Utah,WECC,0,0,0,vandalism,Utah,Utah
Severe Weather,2011,8/13/2011,4:41 PM,8/14/2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,UNK,"181,700","181,700",severe weather,Kentucky,Kentucky
Vandalism,2011,8/9/2011,10:26 AM,8/9/2011,5:00 PM,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WECC,,,,vandalism,"Polk Substation, Tacoma, Washington",Washington
Severe Weather,2011,8/8/2011,8:58 PM,8/10/2011,4:30 PM,Oklahoma Gas & Electric,Northern and Central Oklahoma,SPP,,"54,000","54,000",severe weather,Northern and Central Oklahoma,Oklahoma
Vandalism,2011,8/8/2011,9:35 AM,8/8/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,,vandalism,"Collins Substation, Washington",Washington
Electrical System Separation (Islanding),2011,8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500","14,500",islanding,Oklahoma,Oklahoma
Suspected Physical Attack,2011,8/8/2011,9:30 AM,8/8/2011,9:30 AM,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,0,"vandalism, physical","Greene County, Ohio",Ohio
Public Appeal to Reduce Electricity Usage,2011,8/4/2011,10:30 AM,8/4/2011,4:00 PM,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",SPP,,,,public appeal,"Arkansas, Oklahoma, Texas",Texas
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:29 PM,8/3/2011,11:40 PM,Grand River Dam Authority,Northeast Oklahoma,SPP,300,,,public appeal,Northeast Oklahoma,Oklahoma
Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:30 PM,8/3/2011,9:00 PM,Entergy,Central Arkansas,SPP,0,0,0,public appeal,Central Arkansas,Arkansas
Fuel Supply Deficiency (Coal),2011,8/3/2011,10:00 AM,8/19/2011,10:00 AM,AES Somerset LLC,Western New York,NPCC,675,UNK,,"fuel supply emergency, coal",Western New York,New York
Severe Weather,2011,8/2/2011,9:30 PM,8/3/2011,7:00 PM,Exelon Corporation/ComEd,"Northeast, Illinois",RFC,UNK,"71,500","71,500",severe weather,"Northeast, Illinois",Illinois
Public Appeal to Reduce Electricity Usage,2011,8/2/2011,10:15 AM,8/3/2011,9:16 AM,Oklahoma Gas & Electric,Oklahoma,SPP,,,,public appeal,Oklahoma,Oklahoma
Public Appeal to Reduce Electricity Usage,2011,8/1/2011,3:00 PM,8/5/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,0,public appeal,Texas,Texas
Vandalism,2011,8/1/2011,2:18 PM,8/1/2011,2:18 PM,PacificCorp,"Jefferson, Oregon",WECC,,,,vandalism,"Jefferson, Oregon",Oregon
Vandalism,2011,7/29/2011,11:46 AM,7/29/2011,5:00 PM,City of Tacoma (TPWR),"Fredrickson, Washington",WECC,,,,vandalism,"Fredrickson, Washington",Washington
Severe Weather,2011,7/29/2011,8:45 PM,8/1/2011,4:24 AM,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,RFC,,"67,900","67,900",severe weather,Central New Jersey,New Jersey
Vandalism,2011,7/28/2011,7:25 PM,7/28/2011,7:25 PM,City of Tacoma (TPWR),"Spanaway, Washington",WECC,,,,vandalism,"Spanaway, Washington",Washington
Vandalism,2011,7/28/2011,1:32 PM,7/28/2011,1:32 PM,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,,vandalism,Indiana,Indiana
Severe Weather,2011,7/28/2011,12:14 AM,7/29/2011,12:00 PM,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",RFC,UNK,"201,000","201,000",severe weather,Illinois,Illinois
Fuel Supply Deficiency (Coal),2011,7/28/2011,7:26 AM,7/29/2011,7:26 AM,Owensboro Municipal Utilities,"Daviess County, Kentucky",SERC,,,,"fuel supply emergency, coal","Daviess County, Kentucky",Kentucky
Vandalism,2011,7/27/2011,12:07 PM,7/27/2011,12:08 PM,Tacoma Power (TPWR),"Fife, Washington",WECC,,,,vandalism,"Fife, Washington",Washington
Vandalism,2011,7/26/2011,12:01 PM,7/26/2011,12:01 PM,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,0,vandalism,"Backup Control Center, Oklahoma",Oklahoma
Vandalism,2011,7/24/2011,2:34 PM,7/24/2011,3:47 PM,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,0,vandalism,"Southern, New Hampshire",New Hampshire
Severe Weather,2011,7/23/2011,2:30 AM,7/24/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000","169,000",severe weather,Illinois,Illinois
Public Appeal to Reduce Electricity Usage,2011,7/22/2011,11:00 AM,7/22/2011,6:00 PM,Niagara Mohawk Power Corporation (dba National Grid),"Upstate, New York",NPCC,,,,public appeal,"Upstate, New York",New York
Load Shed,2011,7/22/2011,11:34 AM,7/22/2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,"23,000","23,000",load shedding,Ohio,Ohio
Public Appeal to Reduce Electricity Usage,2011,7/21/2011,1:00 PM,7/21/2011,3:00 PM,City Water Light and Power,"Springfield, Illinois",SERC,,,,public appeal,"Springfield, Illinois",Illinois
Public Appeal to Reduce Electricity Usage,2011,7/21/2011,12:32 PM,7/22/2011,6:30 AM,Consumers Energy,"Lower Peninsula, Michigan",RFC,"8,881",,,public appeal,"Lower Peninsula, Michigan",Michigan
Vandalism,2011,7/20/2011,9:10 AM,7/20/2011,4:30 PM,Tacoma Power (TPWR),"Frederickson Substation, Washington",WECC,,,,vandalism,"Frederickson Substation, Washington",Washington
Vandalism,2011,7/19/2011,11:45 AM,7/19/2011,3:00 PM,Central Maine Power Company,Maine,NPCC,,,,vandalism,Maine,Maine
Severe Weather,2011,7/18/2011,5:00 PM,7/24/2011,1:30 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeast Michigan,RFC,,"197,166","197,166",severe weather,Southeast Michigan,Michigan
Public Appeal to Reduce Electricity Usage,2011,7/14/2011,11:00 AM,7/14/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,0,public appeal,Texas,Texas
Load Shed,2011,7/13/2011,5:19 PM,7/13/2011,10:03 PM,Public Service Company of Colorado,"Pueblo, Colorado",WECC,580,,,load shedding,"Pueblo, Colorado",Colorado
Suspected Physical Attack,2011,7/12/2011,8:20 PM,7/12/2011,9:30 PM,Gen On,California,WECC,UNK,UNK,,"vandalism, physical",California,California
Vandalism,2011,7/12/2011,12:00 PM,7/12/2011,12:00 PM,Central Maine Power Company,Maine,NPCC,,0,0,vandalism,Maine,Maine
Severe Weather,2011,7/11/2011,2:27 PM,7/12/2011,3:50 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,UNK,"120,000","120,000",severe weather,"Indiana, Michigan, Ohio",Ohio
Vandalism,2011,7/11/2011,1:30 PM,7/11/2011,1:30 PM,Central Maine Power Company,Maine,NPCC,,0,0,vandalism,Maine,Maine
Vandalism,2011,7/11/2011,1:13 PM,7/11/2011,1:13 PM,Duke Energy,Southwest Ohio,RFC,0,0,0,vandalism,Southwest Ohio,Ohio
Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,10:25 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000","103,000",severe weather,Michigan,Michigan
Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"500,000","500,000",severe weather,Illinois,Illinois
Severe Weather,2011,7/11/2011,11:15 AM,7/12/2011,8:15 AM,Consumers Energy,Western and Southern Lower Peninsula Michigan,RFC,UNK,"85,000","85,000",severe weather,Western and Southern Lower Peninsula Michigan,Michigan
Vandalism,2011,7/8/2011,10:00 AM,7/8/2011,10:00 AM,Minnesota Power,"Saginaw, Minnesota",MRO,0,0,0,vandalism,"Saginaw, Minnesota",Minnesota
Suspected Cyber Attack,2011,7/8/2011,10:00 AM,7/11/2011,9:00 AM,PJM Interconnection,"PJM Corporate Office, Pennsylvania",RFC,UNK,UNK,,"vandalism, cyber","PJM Corporate Office, Pennsylvania",Pennsylvania
Vandalism,2011,7/6/2011,9:51 AM,7/6/2011,9:52 AM,ISO New England,Vermont,NPCC,,,,vandalism,Vermont,Vermont
Vandalism,2011,7/5/2011,10:40 AM,7/5/2011,11:37 AM,PacifiCorp,West Valley Substation Utah,WECC,0,0,0,vandalism,West Valley Substation Utah,Utah
Severe Weather,2011,7/4/2011,6:00 PM,7/4/2011,9:00 PM,Dominion Virginia Power,Virginia,SERC,150,"51,580","51,580",severe weather,Virginia,Virginia
Severe Weather,2011,7/2/2011,8:15 PM,7/6/2011,10:00 PM,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",RFC,UNK,"182,000","182,000",severe weather,"South East, Lower Peninsula, Michigan",Michigan
Vandalism,2011,7/1/2011,4:38 PM,7/1/2011,10:38 PM,Dayton Power & Light,Greene County Ohio,RFC,,0,0,vandalism,Greene County Ohio,Ohio
Severe Weather,2011,7/1/2011,5:00 PM,7/3/2011,8:00 PM,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,UNK,"70,000","70,000",severe weather,Southwest and South Central Minnesota,Minnesota
Vandalism,2011,7/1/2011,8:00 AM,7/1/2011,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,0,vandalism,"CONVEX Local Control Center, Connecticut",Connecticut
Major System Interruption/Load Shed,2011,6/30/2011,2:11 PM,6/30/2011,11:25 PM,Salt River Project,"Phoenix, Arizona",WECC,"5,299","160,000","160,000",load shedding,Arizona,Arizona
Vandalism,2011,6/30/2011,10:31 PM,6/30/2011,10:31 PM,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0,0,vandalism,"Olympic Pipeline Substation, Washington",Washington
Severe Weather,2011,6/30/2011,10:30 PM,7/1/2011,5:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"121,000","121,000",severe weather,Illinois,Illinois
Public Appeal to Reduce Electricity Usage,2011,6/29/2011,11:30 AM,6/29/2011,6:04 PM,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0,0,public appeal,"Panhandle and Muleshoe, Texas",Texas
Public Appeal to Reduce Electricity Usage,2011,6/27/2011,3:00 PM,6/27/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,0,public appeal,Texas,Texas
Vandalism,2011,6/27/2011,6:55 PM,6/27/2011,6:55 PM,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,UNK,UNK,,vandalism,"Olympic Pipeline Substation, Washington",Washington
Severe Thunderstorms,2011,6/27/2011,12:00 AM,6/29/2011,1:00 AM,AMEREN,Illinois; Missouri,SERC,UNK,"80,000","80,000","severe weather, thunderstorm",Illinois; Missouri,Missouri
Severe Thunderstorms,2011,6/26/2011,6:00 PM,6/27/2011,1:00 PM,Southern Company,Alabama; Georgia,SERC,300,"90,160","90,160","severe weather, thunderstorm",Alabama; Georgia,Georgia
Public Appeal to Reduce Electricity Usage,2011,6/26/2011,4:46 PM,6/27/2011,7:59 AM,Sunflower Electric Power Corporation,Southwest Kansas,SPP,UNK,UNK,,public appeal,Southwest Kansas,Kansas
Severe Thunderstorms,2011,6/24/2011,6:30 PM,6/25/2011,1:30 AM,Southern Company,North/North Central Alabama; Georgia,SERC,340,"102,275","102,275","severe weather, thunderstorm",North/North Central Alabama; Georgia,Georgia
Vandalism,2011,6/23/2011,8:10 AM,6/23/2011,9:00 AM,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0,0,vandalism,"Highgate, Vermont",Vermont
Vandalism,2011,6/22/2011,8:12 PM,6/22/2011,8:12 PM,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0,0,vandalism,"Knoble Substation, Spanaway, Washington",Washington
Severe Weather,2011,6/22/2011,9:46 AM,6/22/2011,9:46 AM,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,UNK,"106,300","106,300",severe weather,"Knoxville, Tennessee",Tennessee
Severe Thunderstorms,2011,6/22/2011,7:00 PM,6/23/2011,1:00 AM,Southern Company,Alabama; Georgia,SERC,316,"75,101","75,101","severe weather, thunderstorm",Alabama; Georgia,Georgia
Severe Weather,2011,6/21/2011,6:30 PM,6/22/2011,7:00 AM,American Electric Power (AEP),AEP Region,RFC,UNK,"56,000","56,000",severe weather,AEP Region,AEP Region
Severe Thunderstorms,2011,6/21/2011,9:45 PM,6/23/2011,2:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"300,000","300,000","severe weather, thunderstorm",Illinois,Illinois
Vandalism,2011,6/20/2011,10:36 AM,6/20/2011,10:36 AM,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0,0,vandalism,"Collins Substation, Washington",Washington
Public Appeal to Reduce Electricity Usage,2011,6/18/2011,4:45 PM,6/20/2011,11:59 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,UNK,,public appeal,"Eastern, Arkansas",Arkansas
Severe Thunderstorms,2011,6/18/2011,5:00 PM,6/18/2011,9:33 PM,Duke Energy Carolinas,North Carolina; South Carolina,SERC,300,"70,000","70,000","severe weather, thunderstorm",North Carolina; South Carolina,South Carolina
Severe Thunderstorms,2011,6/18/2011,3:30 PM,6/19/2011,3:42 PM,Southern Company,"Northern, Georgia",SERC,312,"93,828","93,828","severe weather, thunderstorm","Northern, Georgia",Georgia
Vandalism,2011,6/15/2011,4:00 PM,6/16/2011,6:30 AM,PacifiCorp,"Bingham County, Idaho",WECC,,,,vandalism,"Bingham County, Idaho",Idaho
Severe Thunderstorms,2011,6/15/2011,7:15 PM,6/16/2011,6:00 AM,Southern Company,Georgia,SERC,563,"169,000","169,000","severe weather, thunderstorm",Georgia,Georgia
Severe Thunderstorms,2011,6/15/2011,7:17 PM,6/16/2011,1:45 AM,Duke Energy,"Piedmont, North Carolina",SERC,300,"70,135","70,135","severe weather, thunderstorm","Piedmont, North Carolina",North Carolina
Severe Thunderstorms,2011,6/12/2011,7:00 PM,6/12/2011,8:30 PM,Dominion Virginia Power,Virginia,RFC,250,"56,000","56,000","severe weather, thunderstorm",Virginia,Virginia
Suspected Physical Attack,2011,6/9/2011,2:15 PM,6/9/2011,2:15 PM,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0,0,"vandalism, physical",California,California
Severe Thunderstorms,2011,6/9/2011,5:51 PM,6/10/2011,12:00 PM,ISO New England/Northeast Utilities,"Western, Massachusetts; Connecticut",NPCC,0,"100,000","100,000","severe weather, thunderstorm","Western, Massachusetts; Connecticut",Massachusetts
Severe Thunderstorms,2011,6/9/2011,4:30 AM,6/9/2011,12:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000","169,000","severe weather, thunderstorm",Illinois,Illinois
Vandalism,2011,6/8/2011,12:58 PM,6/8/2011,12:58 PM,Tacoma Power (TPWR),"Fredrickson Substation, Washington",WECC,,,,vandalism,"Fredrickson Substation, Washington",Washington
Severe Weather,2011,6/7/2011,2:00 PM,6/8/2011,6:00 AM,American Electric Power,Ohio,RFC,UNK,"52,747","52,747",severe weather,Ohio,Ohio
Public Appeal to Reduce Electricity Usage,2011,6/6/2011,3:00 PM,6/8/2011,3:00 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,"13,000","13,000",public appeal,"Eastern, Arkansas",Arkansas
Load Shed/ Automatic undervoltage relay action,2011,6/6/2011,12:13 AM,6/6/2011,3:15 AM,El Paso Electric Company,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,450,"162,000","162,000",load shedding,"El Paso County, Texas; Dona Ana County, New Mexico",Mexico
Electrical System Separation (Islanding),2011,6/5/2011,8:02 PM,6/5/2011,8:55 PM,Pacific Gas and Electric,"Melones, California",WECC,10,"5,314","5,314",islanding,"Melones, California",California
Severe Thunderstorms,2011,6/5/2011,5:30 AM,6/6/2011,1:30 AM,CenterPoint Energy,"Houston Metro-Area, Texas",TRE,473,"78,000","78,000","severe weather, thunderstorm",Texas,Texas
Vandalism,2011,6/4/2011,1:17 AM,6/4/2011,3:25 AM,Pacific Gas and Electric,"Midway, California",WECC,UNK,420,420,vandalism,"Midway, California",California
Severe Weather,2011,6/2/2011,11:45 PM,6/4/2011,4:00 PM,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SERC,0,"50,465","50,465",severe weather,"Greater Columbia, South Carolina",South Carolina
Severe Weather,2011,5/29/2011,6:30 PM,5/31/2011,10:00 PM,Consumers Energy,"Mid and Southern Lower Peninsula, Michigan",RFC,250,"113,000","113,000",severe weather,"Mid and Southern Lower Peninsula, Michigan",Michigan
Severe Weather,2011,5/26/2011,7:56 PM,5/27/2011,6:00 PM,PPL Electric Utilities,Central Pennsylvania,RFC,150,"120,001","120,001",severe weather,Central Pennsylvania,Pennsylvania
Transmission Level Interruption,2011,5/26/2011,1:00 AM,5/26/2011,6:00 AM,Greenwood Utilities Commission,"Greenwood, Mississippi",SERC,30,"10,000","10,000",transmission interruption,"Greenwood, Mississippi",Mississippi
Severe Weather,2011,5/26/2011,6:30 PM,5/28/2011,4:44 AM,Southern Company,"Southern Balancing Area, Georgia",SERC,729,"218,783","218,783",severe weather,"Southern Balancing Area, Georgia",Georgia
Severe Weather,2011,5/25/2011,10:14 PM,5/28/2011,11:00 AM,Duke Energy Midwest,Central Indiana,RFC,200,"141,000","141,000",severe weather,Central Indiana,Indiana
Severe Weather,2011,5/24/2011,4:45 PM,5/26/2011,5:00 PM,Oklahoma Gas & Electric,Central Oklahoma,SPP,UNK,"54,000","54,000",severe weather,Central Oklahoma,Oklahoma
Severe Weather,2011,5/24/2011,4:35 PM,5/25/2011,12:40 PM,Dominion Virginia Power,Eastern Virginia,SERC,790,"175,000","175,000",severe weather,Eastern Virginia,Virginia
Physical Attack,2011,5/24/2011,9:00 AM,5/25/2011,9:10 AM,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0,0,"vandalism, physical",Illinois,Illinois
Severe Weather,2011,5/23/2011,4:45 PM,5/25/2011,11:59 PM,Duke Energy Midwest,"Central, Indiana",RFC,"1,024","215,387","215,387",severe weather,"Central, Indiana",Indiana
Severe Weather,2011,5/23/2011,12:30 PM,5/25/2011,12:30 PM,Ameren,"St. Louis County, Missouri",SERC,UNK,"70,000","70,000",severe weather,"St. Louis County, Missouri",Missouri
Severe Weather,2011,5/22/2011,5:09 PM,5/31/2011,12:01 PM,Empire District Electric,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,200,"20,000","20,000",severe weather,"Joplin, Sarcoxie, and Wentworth, Missouri",Missouri
Physical Attack,2011,5/21/2011,5:00 PM,5/22/2011,6:34 PM,"Terra-Gen Dixie Valley, LLC","Dixie Valley Area, Nevada",WECC,56,UNK,,"vandalism, physical","Dixie Valley Area, Nevada",Nevada
Vandalism,2011,5/13/2011,6:00 AM,5/13/2011,6:00 AM,PacifiCorp,"Salt Lake, Utah",WECC,0,0,0,vandalism,"Salt Lake, Utah",Utah
Severe Weather,2011,5/11/2011,12:15 AM,5/11/2011,5:20 PM,Duke Energy Carolinas,"Charlotte, North Carolina",SERC,300,"71,000","71,000",severe weather,"Charlotte, North Carolina",North Carolina
Vandalism,2011,5/11/2011,3:55 PM,5/12/2011,1:57 PM,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,0,0,0,vandalism,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",Minnesota
Vandalism,2011,5/11/2011,1:35 PM,5/11/2011,1:35 PM,PacifiCorp,"Green River, Wyoming",WECC,0,0,0,vandalism,"Green River, Wyoming",Wyoming
Vandalism,2011,5/11/2011,11:00 AM,5/11/2011,11:30 AM,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NPCC,0,0,0,vandalism,"North Chelsea Substation, New York",New York
Vandalism,2011,5/10/2011,1:45 PM,5/10/2011,3:00 PM,ISO New England,New Hampshire,NPCC,0,0,0,vandalism,New Hampshire,New Hampshire
Severe Weather,2011,5/10/2011,10:21 PM,5/11/2011,2:25 PM,American Electric Power,"Kentucky, West Virginia",RFC,UNK,"58,000","58,000",severe weather,"Kentucky, West Virginia",West Virginia
Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),2011,5/10/2011,3:25 AM,5/11/2011,2:10 PM,Midwest Independent System Operator (MISO),"Upper Peninsula, Michigan",RFC,585,"78,213","78,213","load shedding, islanding","Upper Peninsula, Michigan",Michigan
Vandalism,2011,5/9/2011,1:11 PM,5/9/2011,1:11 PM,Public Service of New Hampshire,"Milton, New Hampshire",NPCC,0,0,0,vandalism,"Milton, New Hampshire",New Hampshire
Suspected Physical Attack,2011,5/9/2011,4:08 AM,5/9/2011,6:40 AM,"Exelon Generation Company, LLC","Holtwood, Pennsylvania",RFC,630,UNK,,"vandalism, physical","Holtwood, Pennsylvania",Pennsylvania
Vandalism,2011,5/8/2011,7:35 PM,5/8/2011,7:35 PM,"Castleton Power, LLC",New York,NPCC,UNK,0,0,vandalism,New York,New York
Vandalism,2011,5/6/2011,6:56 AM,5/6/2011,10:30 AM,PacifiCorp,"Alderwood Substation, Portland, Oregon",WECC,0,0,0,vandalism,"Alderwood Substation, Portland, Oregon",Oregon
